Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
Avistar,4,0.25,0.01,0.01,0.0746022691731182,6692353.336758888
Avistar,4,0.45,0.0175,0.0175,0.07449105643274627,1307616.906203874
Avistar,7,0.25,0,0,SPAR FAIL,SPAR FAIL
Avistar,7,0.45,0.0125,0.0125,0.07235331080417093,4746611.18551192
Avistar,10,0.25,0,0,SPAR FAIL,SPAR FAIL
Avistar,10,0.45,0.01,0.01,0.07158017752936216,11080635.715450173
CG Ultimate,4,0.25,0,0,SPAR FAIL,SPAR FAIL
CG Ultimate,4,0.45,0.0125,0.015000000000000001,0.06593848839849081,2990083.992186192
CG Ultimate,7,0.25,0,0,SPAR FAIL,SPAR FAIL
CG Ultimate,7,0.45,0.01,0.01,0.061983817642580354,9270724.971702969
CG Ultimate,10,0.25,0,0,SPAR FAIL,SPAR FAIL
CG Ultimate,10,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4,0.45,0.0125,0.015000000000000001,0.07888797358894711,2990083.992186192
Clark - Y,7,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7,0.45,0.01,0.01,0.07736616327784271,9270724.971702969
Clark - Y,10,0.25,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,10,0.45,0,0,SPAR FAIL,SPAR FAIL
DH4009,4,0.25,0,0,SPAR FAIL,SPAR FAIL
DH4009,4,0.45,0.01,0.01,0.060055821367315285,7008009.356686389
DH4009,7,0.25,0,0,SPAR FAIL,SPAR FAIL
DH4009,7,0.45,0,0,SPAR FAIL,SPAR FAIL
DH4009,10,0.25,0,0,SPAR FAIL,SPAR FAIL
DH4009,10,0.45,0,0,SPAR FAIL,SPAR FAIL
E472,4,0.25,0,0,SPAR FAIL,SPAR FAIL
E472,4,0.45,0.015000000000000001,0.015000000000000001,0.05520982473161364,2076447.216795967
E472,7,0.25,0,0,SPAR FAIL,SPAR FAIL
E472,7,0.45,0.01,0.01,0.04462953857831041,9270724.971702969
E472,10,0.25,0,0,SPAR FAIL,SPAR FAIL
E472,10,0.45,0,0,SPAR FAIL,SPAR FAIL
ESA,4,0.25,0,0,SPAR FAIL,SPAR FAIL
ESA,4,0.45,0.0125,0.0125,0.06888517960845976,3588100.7906234306
ESA,7,0.25,0,0,SPAR FAIL,SPAR FAIL
ESA,7,0.45,0.01,0.01,0.06505785259657344,9270724.971702969
ESA,10,0.25,0,0,SPAR FAIL,SPAR FAIL
ESA,10,0.45,0,0,SPAR FAIL,SPAR FAIL
Falcon-56 MkII,4,0.25,0.01,0.01,0.06805566247336205,6692353.336758888
Falcon-56 MkII,4,0.45,0.0175,0.015000000000000001,0.0687243257502542,1525553.057237853
